Regional,Municipio,Empreendimento,Modalidade,Classe,Atividade,Ano,Mes,Data de Publicacao,Decisao
SUPRAM Central Metropolitana,Sete Lagoas,SAAE SETE LAGOAS - ETE ONDINA VASCONCELOS,LAS RAS,2,E-03-06-9-Estação de tratamento de esgoto sanitário,2019,Junho,26/06/2019,Arquivamento
SUPRAM Central Metropolitana,Sete Lagoas,SAAE SETE LAGOAS - ETE IPORANGA II,LAS RAS,2,E-03-06-9-Estação de tratamento de esgoto sanitário,2019,Junho,26/06/2019,Arquivamento
SUPRAM Central Metropolitana,Sete Lagoas,SAAE SETE LAGOAS - ETE FLÓRIDA,LAS RAS,2,E-03-06-9-Estação de tratamento de esgoto sanitário,2019,Junho,26/06/2019,Arquivamento
SUPRAM Central Metropolitana,Santa Luzia,"INOVAR AMBIENTAL COLETA, TRANSPORTE E TRATAMENTO DE RESÍDUOS EIRELI",LAS RAS,3,"F-01-01-6-Central de recebimento, armazenamento, triagem e/ou transbordo de sucata metálica, papel, papelão, plásticos ou vidro para reciclagem, contaminados com óleos, graxas ou produtos químicos, exceto agrotóxicos",2019,Junho,26/06/2019,Arquivamento
SUPRAM Central Metropolitana,Sabará,ANGLOGOLD ASHANTI CORREGO DO SITIO MINERAÇÃO S/A - MINA CUIABÁ,REVLO,6,A-01-04-1-(DN74)Lavra subterrânea com tratamento a úmido exceto pegmatitos e gemas,2019,Junho,26/06/2019,Arquivamento
SUPRAM Central Metropolitana,Sarzedo,ALCÂNTARA PARTICIPAÇÕES LTDA - RESIDENCIAL VISTA DA LAGOA,LAS RAS,3,"E-04-01-4-Loteamento do solo urbano, exceto distritos industriais e similares",2019,Junho,29/06/2019,Arquivamento
SUPRAM Central Metropolitana,Sete Lagoas,SIDERÚRGICA BETSER LTDA,LAS RAS,2,"A-05-01-0-unidade de Tratamento de Minerais - uTM, com tratamento a seco",2019,Junho,29/06/2019,Arquivamento
SUPRAM Central Metropolitana,Sete Lagoas,SAAE SETE LAGOAS - ETE COLORADO,LAS RAS,2,E-03-06-9-Estação de tratamento de esgoto sanitário,2019,Junho,29/06/2019,Arquivamento
SUPRAM Central Metropolitana,Paraopeba,MINERAÇÃO PARAOPEBA LTDA. - ME,LAC 2 - LO,3,A-02-09-7-Extração de rocha para produção de britas,2019,Junho,29/06/2019,Arquivamento
SUPRAM Central Metropolitana,Pedro Leopoldo,DER/MG - RODOVIA MG 424 - TRECHO: ENTRONCAMENTO LMG 800 ESTACA 845 - ESTACA 1.185,LP+LI,3,E-01-01-5-(DN74)Implantação ou duplicação de rodovias.,2019,Junho,29/06/2019,Arquivamento
SUPRAM Central Metropolitana,Sete Lagoas,DBP MINERAÇÃO LTDA,LO,3,A-02-05-4-(DN74)Lavra a céu aberto ou subterrânea em áreas cársticas com ou sem        tratamento ,2019,Junho,29/06/2019,Arquivamento
SUPRAM Central Metropolitana,Itatiaiuçu,MINERAÇÃO USIMINAS S/A,LP+LI,3,A-02-04-6-(DN74)LAVRA A CÉU ABERTO COM TRATAMENTO A ÚMIDO MINÉRIO DE FERRO,2019,Junho,29/06/2019,Arquivamento
SUPRAM Central Metropolitana,Itatiaiuçu,MINERAÇÃO USIMINAS SA - MINA CENTRAL,LAC 1 - LP + LI + LO,3,A-02-03-8-Lavra a céu aberto - Minério de ferro,2019,Junho,29/06/2019,Arquivamento
SUPRAM Central Metropolitana,Pedro Leopoldo,COPASA - ETE SISTEMA INTEGRADO PEDRO LEOPOLDO/CONFINS,LAS RAS,3,E-03-06-9-Estação de tratamento de esgoto sanitário,2019,Junho,29/06/2019,Arquivamento
SUPRAM Leste de Minas,Frei Inocêncio,REDE HG COMBUSTIVEIS LTDA POSTO CASA BRANCA,REVLO,4,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,25/06/2019,Deferida
SUPRAM Zona da Mata,Manhuaçu,RESIDENCIAL MANHUAÇU EMPREENDIMENTOS IMOBILIÁRIOS SPE S A,LAS RAS,2,E-03-06-9-Estação de tratamento de esgoto sanitário,2019,Junho,29/06/2019,Indeferida
SUPRAM Central Metropolitana,Nova Lima,POSTO CURVA DO RETIRO LTDA,REVLO,5,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,25/06/2019,Indeferida
SUPRAM Zona da Mata,Canaã,VICENTE DE PAULA LOPES E OUTROS,LAS RAS,2,G-02-04-6-Suinocultura,2019,Junho,29/06/2019,Indeferida
SUPRAM Zona da Mata,Carandaí,ENGESOL INDUSTRIA E MINERAÇÃO LTDA,LAS RAS,3,A-02-09-7-Extração de rocha para produção de britas,2019,Junho,29/06/2019,Indeferida
SUPRAM Zona da Mata,Barroso,PUIATTI E FILHOS COMERCIO E INDUSTRIA LTDA,LAS RAS,3,E-02-01-2-Central Geradora Hidrelétrica - CGH,2019,Junho,29/06/2019,Arquivamento
SUPRAM Zona da Mata,Miraí,COMPANHIA BRASILEIRA DE ALUMÍNIO,LO,5,"A-02-01-1-Lavra a céu aberto - Minerais metálicos, exceto minério de ferro",2019,Junho,29/06/2019,Arquivamento
